Time,Event Name,Theme,Artists

2026-06-20 00:00:00,,,

9.45 - 10 AM,Welcome & Invocation,Invocation song,Janani Iyer of WA (Vocal)

10 - 11 AM,Ensemble,"Nadarnava: a confluence in the carnatic.
Curated by Vid. Arun Prakash, coordinated by Shri. Subramanian Janardanan and presented by the Northwest talent.","Myan Sudarshanan of WA (Mridangam and Konnakol)
Srikrishna Prasannan of OR (Ghatam & Morsing)
Shreyas Muralidharan of CA (Nadaswaram)
Surya Katari of WA (Kanjira)
Manthan Satish of WA (Flute)
Anjana Sriram of WA, Aparajitha Sethuraman of WA (Veena)
Pramati Bharat of WA, Harini Ganesh of OR, Amatra Jagannathan of WA (Violin)
Vibha Shivarajan of WA, Akshara Gundimeda of WA, Amogh Nimmagada of WA, Smera Subramanian of WA (Vocal) "

11:10 - 12:10 PM,Thematic group rendition by Vid. Dharini Kalyanaram and her students,Muthuswamy Dikshitar's Guruguha Vibhakthi Krithis,"Vid. Dharini Kalyanaram of WA (Vocal)
Vibha Shivarajan of WA (Vocal)
Diya Ramkumar of WA (Vocal)
Lahari Katari of WA (Vocal)
Guhan Kumar of WA (Vocal)
Krishna Srikanth of OR and Sriram Ramanan of CA (Double Mridangam)
Harini Ganesh of OR (Violin)"

12.20 - 1:05 PM,Thematic Concert,Thyagaraja's Immortal Pancharatnams,"Shashank Ganesan of WA (Vocal)
Aakarsh Dhilip of WA (Violin)
Anuraag Prakash of WA and Sriram Ramanan of CA (Double Mridangam)"

1:15 - 2: 15 PM,Thematic Concert,Compositions of Papanasam Sivan,"Sinthu Sethuraman of CA (Vocal)
Vishnu Shreehari of VA (Violin)
Krishna Srikanth of OR (Mridangam)
Srikrishna Prasannan of OR (Ghatam)"

2.25 - 2.55 PM,Thematic Concert,Vivadhi compositions of Thyagaraja,"Tejas Saikrishnan of WA (Vocal)
Sahana Prakash of WA (Violin)
Anirudh Parthasarathy of WA (Mridangam)"

15:00:00,Thematic group rendition by students of Shri. Subramanian Janardanan,Bhairavi Swarajathi,"Smera Subramanian of WA (Vocal)
Divya Sriram of WA (Vocal)
Soumya Sriram of WA (Vocal)
Deeksha Tangirala of WA (Vocal)
Kriti Tangirala of WA (Vocal)
Aditi Arunkumar of WA (Violin)
Mayukh Nimmagada of WA (Mridangam)"

3.30 - 4.15 PM,Thematic Concert,RTP,"Aditi Marehalli of WA (Vocal),
Nandini Viswanathan of WA (Violin),
Srikrishna Prasannan of OR (Ghatam),
Krishna Srikanth of OR (Ghatam)"

4.20 - 5 PM,Documentary screening,"Colonial Interlude: The Nottuswara Sahityas of Dikshitar
An award-winning film by renowned musicologist Dr. Kanniks Kannikeswaran",

5.10 PM - 6.10 PM,Workshop presentation,"Timeless Gems of the Trinity
Curated by Vid. Sriranjani Santhanagopalan and presented by the participants","Arnav Sudarshan of OR and Tarun Ravi of OR (Double Mridangam)
Vishnu Shreehari of VA (Violin)"

6.15 PM - 7:00 PM,Carnatic Trivia,Led by Vid. Sriranjani Tapasya Santhanagopalan,

7.10 - 8.40 PM,Grand Concert,Carnatic Crossover Concert,"Vid. Ravi Gopinath of WA (Vocal)
Amatra Jagannathan of WA (Violin)
Vid. Jagadeeswaran Jayaprakash of WA (Mridangam)
Vid. Vignesh Lakshminarayanan of WA (Guitar)"

,,,

2026-06-21 00:00:00,,,

8.20 - 8.50 AM,Thematic group rendition by Vid. RaginiSri's students,Nottuswarams,

9 - 9:30 AM,Thematic Concert,Compositions on Lord Muruga,"Janhavi Subramanian of WA (Vocal)
Dhanya Srinivasan of WA (Vocal)
Saanvi Karthik of WA (Vocal)
Mayukh Nimmagada of WA (Mridangam)"

9.40 - 10.25 AM,Thematic Concert,Compositions on Lord Rama,"Amogh Nimmagada of WA (Vocal)
Vishnu Shreehari of VA (Violin),
Mayukh Nimmagada of WA (Mridangam),
Srikrishna Prasannan of OR (Ghatam)"

10.35 - 11.35 AM,Thematic Concert,RTP,"Akshara Gundimeda of WA (Vocal)
Arjun Gundimeda of WA (Violin)
Anirudh Parthasarathy of WA (Mridangam)"

11.45 - 12.30 PM,Thematic Concert,Avatāra Vaibhavam – Selected Compositions on Vishnu’s Incarnations,"Shreyas Muralidharan of CA (Vocal)
Vishnu Shreehari of VA (Violin)
Arnav Sudarshan of OR (Mridangam)
Srikrishna Prasannan of OR (Ghatam)"

12.40 - 1.40 PM,Thematic Concert,RTP,"Vijayanti Pappu of AZ (Veena), 
Tarun Ravi of OR (Mridangam)"

1.50 - 2.50 PM,Thematic Concert,,"Indiana Brothers of IN (Vocal)
Tarun Ravi of OR (Mridangam)"

2.55 - 3.25 PM,Thematic Concert,Padams and Javalis,"Smera Subramanian of WA (Vocal),
Pramati Bharat of WA (Violin),
Myan Sudarshan of WA (Mridangam)"

3.35 - 5.05 PM,Thematic Concert,Tamil Compositions,"Bhargavi Chandrasekar of TX (Vocal), 
Pramati Bharat of WA (Violin), 
Myan Sudarshan of WA (Mridangam), 
Srikrishna Prasannan of OR (Ghatam)"

5.15 - 5.45 PM,Awards Ceremony,SaaMa Music competition prize distribution,

6 - 8 PM,Grand Concert,Grand Finale Concert,"Vid. Sriranjani Tapasya Santhagopalan, 
Vid. Kamala Kiran Vinjamuri (Violin),
Vid. Sumesh Narayanan (Mridangam), 
Vid. Ravi Balasubramanian (Ghatam)"


